,path,metal,species,energy
0,allcontcars\Pd111\CH2C\2_fcc,Pd,CH2C,2.5361199999999826
1,allcontcars\Pd111\CH2CH\1_fcc\ediff_1e-5,Pd,CH2CH,2.2732400000000155
2,allcontcars\Pd111\CH2CH2\1_atop\ediff_1e-5,Pd,CH2CH2,1.472440000000006
3,allcontcars\Pd111\CH2CHCO\1_hcp\ediff_1e-5,Pd,CH2CHCO,4.0290099999999995
4,allcontcars\Pd111\CH2CHCOOH\1_atop\ediff_1e-5,Pd,CH2CHCOOH,3.948330000000027
5,allcontcars\Pd111\CH3C\1_fcc\ediff_1e-5,Pd,CH3C,1.5680099999999868
6,allcontcars\Pd111\CH3CCO\1_hcp_published\ediff_1e-5,Pd,CH3CCO,3.962140000000005
7,allcontcars\Pd111\CH3CCOO\1_hcp\ediff_1e-5,Pd,CH3CCOO,5.121460000000013
8,allcontcars\Pd111\CH3CCOOH\1_fcc,Pd,CH3CCOOH,4.272290000000027
9,allcontcars\Pd111\CH3CH\ediff_1e-5,Pd,CH3CH,1.7949300000000221
10,allcontcars\Pd111\CH3CH2\position_1\ediff_1e-5,Pd,CH3CH2,1.2301999999999964
11,allcontcars\Pd111\CH3CH2CO\1_fcc\ediff_1e-5,Pd,CH3CH2CO,2.8603200000000015
12,allcontcars\Pd111\CH3CH2COO\ediff_1e-5,Pd,CH3CH2COO,3.2754400000000317
13,allcontcars\Pd111\CH3CH2COOH\pos_1,Pd,CH3CH2COOH,2.9710699999999974
14,allcontcars\Pd111\CH3CH3\ediff_1e-5,Pd,CH3CH3,0.5476800000000139
15,allcontcars\Pd111\CH3CHCO\1_atop\ediff_1e-5,Pd,CH3CHCO,3.606930000000034
16,allcontcars\Pd111\CH3CHCOO\1_hcp,Pd,CH3CHCOO,4.423430000000025
17,allcontcars\Pd111\CH3CHCOOH\ediff_1e-5,Pd,CH3CHCOOH,3.586449999999985
18,allcontcars\Pd111\CHCH\2_bri_fcc,Pd,CHCH,2.6708300000000236
19,allcontcars\Pd111\CHCHCO\1_hcp\ediff_1e-5,Pd,CHCHCO,4.803899999999999
20,allcontcars\Pd111\CHCHCOOH\ediff_1e-5,Pd,CHCHCOOH,4.745470000000012
21,allcontcars\Pd111\CO\01-12_ML\1_fcc\dyn_matr,Pd,CO,1.0863500000000101
22,allcontcars\Pd111\CO2\ediff_1e-5\dyn_matr,Pd,CO2,2.3542700000000423
23,allcontcars\Pd111\COOH\1_atop,Pd,COOH,2.2032000000000096
24,allcontcars\Pd111\H2O\ediff_1e-5,Pd,H2O,-0.2868999999999744
25,allcontcars\Pd111\OH\1_fcc\dyn_matr,Pd,OH,0.6120999999999981
26,allcontcars\Pt111\CH2C\1_fcc\dyn_matr,Pt,CH2C,2.0844920000000116
27,allcontcars\Pt111\CH2CH\1_fcc\dyn_matr,Pt,CH2CH,1.8271219999999744
28,allcontcars\Pt111\CH2CH2\1_atop\dyn_matr,Pt,CH2CH2,1.244952000000012
29,allcontcars\Pt111\CH2CHCO\1_fcc\dyn_matr,Pt,CH2CHCO,3.8637519999999768
30,allcontcars\Pt111\CH2CHCOOH\1_hcp\dyn_matr,Pt,CH2CHCOOH,3.8206519999999955
31,allcontcars\Pt111\CH3C\1_fcc\dyn_matr,Pt,CH3C,1.2208219999999983
32,allcontcars\Pt111\CH3CCO\1_fcc\dyn_matr,Pt,CH3CCO,3.5859519999999634
33,allcontcars\Pt111\CH3CCOO\1_hcp\dyn_matr,Pt,CH3CCOO,4.873371999999961
34,allcontcars\Pt111\CH3CCOOH\1_fcc\dyn_matr,Pt,CH3CCOOH,4.049232000000018
35,allcontcars\Pt111\CH3CH\1_bridge\dyn_matr,Pt,CH3CH,1.522512000000006
36,allcontcars\Pt111\CH3CH2\dyn_matr,Pt,CH3CH2,0.9855919999999969
37,allcontcars\Pt111\CH3CH2CO\1_fcc\dyn_matr,Pt,CH3CH2CO,2.862231999999949
38,allcontcars\Pt111\CH3CH2COO\dyn_matr,Pt,CH3CH2COO,3.3080019999999877
39,allcontcars\Pt111\CH3CH2COOH,Pt,CH3CH2COOH,3.0966319999999996
40,allcontcars\Pt111\CH3CH3\dyn_matr,Pt,CH3CH3,0.5575420000000122
41,allcontcars\Pt111\CH3CHCO\bri\dyn_matr,Pt,CH3CHCO,3.219981999999959
42,allcontcars\Pt111\CH3CHCOO\1_fcc\dyn_matr,Pt,CH3CHCOO,4.4334120000000325
43,allcontcars\Pt111\CH3CHCOOH\bri,Pt,CH3CHCOOH,3.488301999999976
44,allcontcars\Pt111\CHCH\1_bri_fcc\dyn_matr,Pt,CHCH,2.345801999999992
45,allcontcars\Pt111\CHCHCO\1_hcp\dyn_matr,Pt,CHCHCO,4.3366719999999646
46,allcontcars\Pt111\CHCHCOOH\1_fcc\dyn_matr,Pt,CHCHCOOH,4.403232000000003
47,allcontcars\Pt111\CO\1_fcc,Pt,CO,1.2720619999999485
48,allcontcars\Pt111\CO2\dyn_matr,Pt,CO2,2.3624719999999684
49,allcontcars\Pt111\COOH\dyn_matr,Pt,COOH,2.0429119999999443
50,allcontcars\Pt111\H2O\dyn_matr,Pt,H2O,-0.2744180000000256
51,allcontcars\Pt111\OH\1_bri\dyn_matr,Pt,OH,0.8086919999999509
52,allcontcars\Ru0001\CH2C\hcp\dyn_matr,Ru,CH2C,1.806820000000073
53,allcontcars\Ru0001\CH2CH\1_hcp\dyn_matr,Ru,CH2CH,1.641930000000002
