,Pd,Pt,Rh,Re,Ru,Cu,Ag,Ni
CH3CH2COOH,2.97107,3.096632,2.72217,2.59072,2.53976,2.97363697,3.14881595,3.03062
CH3CHCOOH,3.58645,3.488302,3.42231,3.30618,3.04576,3.94015697,4.26849595,3.59558
CH3CCOOH,4.27229,4.049232,3.68385,3.33508,3.3098,4.78056697,5.64297595,4.06085
CH2CHCOOH,3.94833,3.820652,3.81269,3.23614,3.29483,4.54984697,4.64775595,3.86939
CHCHCOOH,4.74547,4.403232,4.16585,3.52616,3.69583,5.25459697,5.95452595,4.43884
CH3CH2CO,2.86032,2.862232,2.72947,2.76757,2.58968,3.75251697,4.13290595,2.98426
CH3CHCO,3.60693,3.219982,3.27008,3.1426,3.00702,4.59311697,4.68618595,3.66871
CH3CCO,3.96214,3.585952,3.64442,3.07664,3.36371,5.00145697,5.46206595,3.85703
CH2CHCO,4.02901,3.863752,3.61777,3.1408,3.35454,5.30175697,5.77736595,4.11394
CHCHCO,4.8039,4.336672,4.26048,3.47529,3.6412,5.93481697,6.82805595,4.65592
CHCH,2.67083,2.345802,2.16706,1.30883,1.80883,3.37205697,4.78865595,2.11964
CH2C,2.53612,2.084492,2.08899,1.94324,1.80682,3.68575697,4.69572595,2.47331
CH2CH,2.27324,1.827122,2.04913,1.67138,1.64193,3.11721697,3.66368595,2.29557
CH2CH2,1.47244,1.244952,1.45226,1.21003,1.30947,2.17053697,2.30233595,1.61478
CH3CH2COO,3.27544,3.308002,2.73502,2.20166,2.28637,2.92417697,3.36399595,2.72062
CH3CHCOO,4.42343,4.433412,3.73834,3.26322,3.11891,4.45956697,5.14015595,4.06132
CH3CCOO,5.12146,4.873372,4.51565,4.20932,4.14008,5.70515697,6.86225595,4.89496
CH3C,1.56801,1.220822,1.28613,1.30876,1.23374,3.16294697,4.49229595,1.64127
CH3CH,1.79493,1.522512,1.51935,1.34182,1.28359,2.72657697,3.59085595,1.6779
CH3CH2,1.2302,0.985592,1.25081,1.02187,1.13951,1.85347697,2.14643595,1.362
CH3CH3,0.54768,0.557542,0.56225,0.58078,0.57546,0.57370697,0.57710595,0.57434
OH,0.6121,0.808692,0.18933,-0.58452,-0.31956,0.04321697,0.57160595,-0.17346
H2O,-0.2869,-0.274418,-0.36812,-0.46645,-0.48429,-0.21028303,-0.16588405,-0.31094
CO,1.08635,1.272062,1.11788,1.2436,1.16184,2.18812697,2.87918595,1.1765
CO2,2.35427,2.362472,2.44687,2.13644,2.2531,2.36152697,2.36205595,2.40668
COOH,2.2032,2.042912,1.82204,1.75364,1.65879,2.63604697,3.09979595,2.07472
O,1.151,1.29281,0.56614,-0.492,0.02316,0.85181,2.17543,-0.63737
C,2.134,1.84181,1.76714,1.658,1.44616,4.10581,5.62443,2.32863
H,-0.5985,-0.50698,-0.5431,-0.75643,-0.62988,-0.266522,0.14812,-0.55264
