,0,1,2,3,4,c_m,o_m,c_c,c_h,c_o,o_h,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,Pd,CH2C,4.8039,0.6121,2.134,2,0,1,2,0,0,51.39905311056783,50.67980784026536,50.51848212036325,50.10994098084807,50.0755741874717,49.91792806126218,49.674481470054104,49.61501502990222,49.50304792131757,49.44207276437681,49.41372186881698,49.374820445585,49.24801636669083,49.17246071393667,49.15488854214429,49.10326858150282,49.079283364168155,49.038098351260956,48.96262616164947,48.93583120292803,48.871034076543026,48.85604202728128,48.83061029730645,48.80252010458701,43.70990571269189,30.148992849613037,0.455218159577152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26740484211139925
1,Pd,CH2CH,4.8039,0.6121,2.134,2,0,1,3,0,0,51.34918370518045,50.680662950675774,50.49191427517073,50.10438863522038,50.02864202993288,49.87170587859654,49.67123384275937,49.64019999892782,49.497103296009634,49.44656786438888,49.3676837497069,49.301613953892996,49.26641725136302,49.203350015005924,49.13669554057257,49.11142347309835,49.075503126723156,49.03043145741742,49.0030545705693,48.90179336596415,48.880950528573074,48.85871553332888,48.81663032589358,48.81216772150009,42.66011034060109,31.745005834518746,0.4516940956855214,0.13622171408617614,0.0,0.0,0.0,0.0,0.0,0.0,-0.21572760476180344
2,Pd,CH2CH2,4.8039,0.6121,2.134,2,0,1,4,0,0,51.2825990511617,50.647869283611634,50.490924782557755,50.07232012619914,49.97106493474878,49.88889921024815,49.66347451830412,49.60077972054227,49.463482677559206,49.438577035681384,49.41034931616095,49.39279927863552,49.250259250524685,49.16780522653811,49.14028475490253,49.10932537781472,49.065393186161614,49.03856271817444,48.94628159975186,48.924193995333674,48.87713112193588,48.85608921611175,48.82621783300706,48.80167704221551,43.124197274580595,31.94628735928443,0.4612543117303526,0.4454392472336833,0.0,0.0,0.0,0.0,0.0,-0.15455453723125648,-0.3236474428791186
3,Pd,CH2CHCO,4.8039,0.6121,2.134,3,1,2,3,1,0,79.46866852073276,51.26994710551949,50.622867692339824,50.4816762656789,50.05512746440264,49.97579371039829,49.88982809238635,49.66903697898999,49.61001296130468,49.466178738092644,49.43710684786665,49.423068983971824,49.40780322412156,49.28820265607049,49.166428275907144,49.11927267088542,49.10180253781376,49.06992842285136,49.01949590337362,48.96045537319296,48.9299024808189,48.90924654052365,48.86253897380114,48.828908925352145,48.805289280149715,43.98654595800256,34.09143378042116,27.473372767939196,0.4529698951765089,0.10954943753736107,0.0,0.0,0.0,0.0,-0.2523230757860869
4,Pd,CH2CHCOOH,4.8039,0.6121,2.134,2,0,2,3,2,1,82.895288174744,73.2083073480526,51.25986696687091,50.648933112278264,50.509884101750686,50.082354607465724,49.93601850165882,49.88544805024318,49.65322108035616,49.613906239458714,49.507318039696976,49.43113625634194,49.39572254930722,49.37750467788083,49.25002480210568,49.17081581666014,49.14302808957859,49.099961835935495,49.059457399860456,49.03100815356418,48.94033816620064,48.933633318383905,48.879640585045756,48.86587925762566,48.832457121899346,48.7966682853468,43.44629788222106,33.555308452916314,26.59038691530439,0.4532416161913676,0.09932203915702947,0.0,0.0,-0.2522554856820045,-0.583291848773369
5,Pd,CH3C,4.8039,0.6121,2.134,1,0,1,3,0,0,51.38389895395147,50.66972164837757,50.49672669965537,50.10926448899683,50.06462256528358,49.86738421750373,49.677425686019276,49.64508790807399,49.49495951493654,49.448231764697326,49.367503119241064,49.29603028468046,49.26613585079917,49.1909123465604,49.14829920458651,49.11694323138368,49.07384626876946,49.031814659844095,49.00300312462912,48.90159059379353,48.86593486105119,48.858728038090455,48.818809788197015,48.81624619214856,41.97050789498376,32.351585441416155,0.4454925223801395,0.4454218971918593,0.0,0.0,0.0,0.0,0.0,0.0,-0.500791296641317
6,Pd,CH3CCO,4.8039,0.6121,2.134,2,0,2,3,1,0,81.4253727317539,51.31175991764406,50.64039582367361,50.499839144453176,50.07531017268909,49.99486779004905,49.900931720472094,49.664241245999705,49.601740376648905,49.457392279719926,49.44329067560773,49.423459252802935,49.390495136925935,49.25058530462484,49.168274833521224,49.14233784940289,49.109780037574644,49.0736034628661,49.03782666593769,48.949945538652614,48.93109954564818,48.86750049812485,48.85572794285682,48.83696240718978,48.812370116099395,42.62184033139688,34.49662184709581,26.32714886357865,0.4460045646880451,0.4441673265124199,0.0,0.0,0.0,0.0,-0.5007560143735018
7,Pd,CH3CCOO,4.8039,0.6121,2.134,1,1,2,3,2,0,84.10096307880067,72.45588855674556,51.26238176223814,50.6541687567898,50.48446008479349,50.06485422751073,49.91486063245418,49.88627379084113,49.64750520574685,49.61459043021567,49.496223305713606,49.457052591074245,49.427498766144616,49.38546865052308,49.293477600519154,49.167933195805176,49.127395095568524,49.10357376184105,49.048005452417385,49.00719125498431,48.9379952175191,48.93125370410539,48.87347932119726,48.84725559560083,48.82871846071166,48.8037091802141,42.200161076529774,33.62419330270862,26.12684154390279,0.4449264935101313,0.4429079992796591,0.0,0.0,0.0,-0.4443759863602924
8,Pd,CH3CCOOH,4.8039,0.6121,2.134,1,1,2,3,2,1,82.77986741489451,73.10598439626045,51.27306341373165,50.64064451275311,50.46821836848788,50.05662623724561,49.98554532710264,49.869430991673234,49.65567847501873,49.6016020069756,49.4709620762474,49.438402882447775,49.41337482964157,49.39596078774248,49.287894265741244,49.17429975681068,49.12830056473025,49.099923210560654,49.0554753305655,49.027659470368974,48.94544109753688,48.94012591131076,48.886689212824834,48.852584260037425,48.823087574287605,48.80718224563464,42.41392153641682,34.390619943728225,26.87184561764153,0.4445175555044236,0.4428417396727787,0.0,0.0,-0.455499721072229,-0.575439182876659
9,Pd,CH3CH,4.8039,0.6121,2.134,1,0,1,4,0,0,51.29709847352805,50.70019100729171,50.466119068740575,50.09926828101312,50.00701518271025,49.86281705492894,49.757667220591145,49.54005583047932,49.48497520911209,49.46803757325161,49.33454879706654,49.32292944033801,49.221080698984565,49.21683828166947,49.16785413094199,49.112547827445105,49.0646829945188,49.01568050152096,48.980253661075174,48.89588891089046,48.874117728032246,48.86327988935834,48.83861757756939,48.80046796630522,42.09407595018081,32.76955254646597,0.44627702503971023,0.44366277883514543,0.15940801301458524,0.0,0.0,0.0,0.0,0.0,-0.479672150298543
